days,s(t_k),ln(s(t_k)),x(t_k)
3,"12,359.92",9.422214,N/A
9,"12,422.06",9.427229,5.01E-03
17,"12,720.48",9.450969,2.37E-02
23,"12,660.46",9.446239,-4.73E-03
30,"12,862.23",9.462050,1.58E-02
37,"12,801.23",9.457297,-4.75E-03
44,"12,949.87",9.468841,1.15E-02
52,"12,982.95",9.471392,2.55E-03
58,"12,977.57",9.470978,-4.14E-04
65,"12,922.02",9.466688,-4.29E-03
72,"13,232.62",9.490440,2.38E-02
79,"13,080.73",9.478895,-1.15E-02
86,"13,212.04",9.488884,9.99E-03
93,"13,060.14",9.477320,-1.16E-02
100,"12,849.59",9.461067,-1.63E-02
107,"13,029.26",9.474953,1.39E-02
114,"13,228.31",9.490115,1.52E-02
121,"13,038.27",9.475644,-1.45E-02
128,"12,820.60",9.458809,-1.68E-02
135,"12,369.38",9.422979,-3.58E-02
142,"12,454.83",9.429864,6.88E-03
150,"12,118.57",9.402494,-2.74E-02
156,"12,554.20",9.437811,3.53E-02
163,"12,767.17",9.454632,1.68E-02
170,"12,640.78",9.444683,-9.95E-03
177,"12,880.09",9.463438,1.88E-02
184,"12,772.47",9.455047,-8.39E-03
191,"12,777.09",9.455409,3.62E-04
198,"12,822.57",9.458962,3.55E-03
205,"13,075.66",9.478508,1.95E-02
212,"13,096.17",9.480075,1.57E-03
219,"13,207.95",9.488574,8.50E-03
226,"13,275.20",9.493653,5.08E-03
233,"13,157.97",9.484783,-8.87E-03
240,"13,090.84",9.479668,-5.11E-03
248,"13,306.64",9.496018,1.64E-02
254,"13,593.37",9.517337,2.13E-02
261,"13,579.47",9.516314,-1.02E-03
268,"13,437.13",9.505777,-1.05E-02
275,"13,610.15",9.518571,1.28E-02
282,"13,328.85",9.497686,-2.09E-02
289,"13,343.51",9.498785,1.10E-03
296,"13,107.21",9.480918,-1.79E-02
305,"13,093.16",9.479845,-1.07E-03
310,"12,815.39",9.458402,-2.14E-02
317,"12,588.31",9.440524,-1.79E-02
324,"13,009.53",9.473437,3.29E-02
331,"13,025.58",9.474670,1.23E-03
338,"13,155.13",9.484567,9.90E-03
345,"13,135.01",9.483036,-1.53E-03
352,"13,190.84",9.487278,4.24E-03
359,"12,938.11",9.467932,-1.93E-02
366,"13,104.14",9.480683,1.28E-02